Model,DA (%),Majority (%),DA - majority,DA std (%),PT stat,PT p,F1 macro,R2_OOS,R2_OOS std,RMSE (bps),MAE (bps),Excluded (%),Price RMSE [2nd],Price MAPE (%) [2nd]
Tree Ensemble,52.82,54.01,-1.19,1.98,1.567,0.0586,0.5179,-0.02037,0.03259,183.4,126.9,7.0,2.491,1.2701
BiLSTM,52.47,54.01,-1.54,3.15,-0.571,0.7159,0.4408,-0.00499,0.01132,182.0,125.0,7.0,2.4901,1.2514
Transformer,52.6,54.01,-1.41,2.46,-0.543,0.7065,0.4443,0.00102,0.00741,181.5,124.7,7.0,2.4778,1.2475
Zero return,45.99,54.01,-8.02,1.99,,,0.315,-0.00276,0.00632,181.8,124.9,7.0,2.4845,1.2482
Historical mean,54.01,54.01,0.0,1.99,,,0.3507,0.0,0.0,181.6,124.5,7.0,2.4829,1.2459
AR(1) returns,53.71,54.01,-0.3,2.03,0.721,0.2355,0.4103,-0.00347,0.00633,181.9,124.7,7.0,2.4874,1.2479
"ARIMA(5, 0, 0) returns",52.05,54.01,-1.96,2.09,-1.26,0.8962,0.4295,-0.00753,0.01009,182.3,125.1,7.0,2.4896,1.2515
Random sign,50.26,54.01,-3.75,3.76,0.599,0.2745,0.5017,-0.8948,0.57871,249.9,201.9,7.0,3.5939,2.0176
Hybrid meta (+VIX),52.65,54.01,-1.37,3.0,-0.668,0.748,0.4164,-0.00029,0.01091,181.6,124.7,7.0,2.4804,1.2472
Hybrid meta (no VIX),52.3,54.01,-1.71,3.28,-0.234,0.5926,0.4609,-0.00197,0.01198,181.8,124.8,7.0,2.4793,1.2479
