Model,Alpha ann.,t(alpha),p(alpha),p(alpha) Holm,Beta,Exposure,Sharpe gross,Sharpe net,Ann. return net,Total return net,Max drawdown,Ann. turnover,Breakeven cost (bps),Beats B&H net
AR(1) returns,-0.0106,-0.35,0.7235,1.0,0.878,0.926,0.984,0.939,0.2429,7.7969,-0.4234,31.9,166.8,False
"ARIMA(5, 0, 0) returns",-0.041,-1.07,0.2832,1.0,0.778,0.862,0.855,0.76,0.1748,4.0079,-0.38,64.9,67.1,False
BiLSTM,-0.0257,-0.93,0.3549,1.0,0.899,0.848,0.924,0.896,0.2311,6.9973,-0.3852,20.1,251.6,False
Historical mean,-0.0,-1.0,0.3154,1.0,1.0,1.0,1.045,1.045,0.2967,12.4404,-0.3852,0.1,n/a,False
Hybrid meta (+VIX),-0.0419,-1.88,0.0606,0.6666,0.937,0.888,0.87,0.861,0.2235,6.5191,-0.3736,6.1,797.1,False
Hybrid meta (no VIX),-0.0315,-0.85,0.3942,1.0,0.797,0.795,0.848,0.81,0.1919,4.7867,-0.3458,26.0,168.1,False
Logistic (direction),-0.0162,-1.05,0.2945,1.0,0.971,0.985,0.979,0.973,0.2663,9.6054,-0.4103,4.5,n/a,False
Random sign,-0.0484,-1.06,0.2903,1.0,0.478,0.5,0.708,0.479,0.0787,1.1334,-0.3457,122.0,23.2,False
Ridge (returns),0.039,1.23,0.2188,1.0,0.86,0.846,1.165,1.115,0.3003,12.8214,-0.3852,35.5,175.6,True
Transformer,0.0156,0.39,0.6968,1.0,0.742,0.845,1.011,0.963,0.2318,7.0454,-0.3576,32.5,154.8,False
Tree Ensemble,0.074,1.71,0.0873,0.873,0.663,0.608,1.319,1.166,0.2792,10.7347,-0.3349,96.2,64.4,True
Zero return,0.0,n/a,n/a,n/a,0.0,0.0,n/a,n/a,0.0,0.0,0.0,0.0,n/a,False
Buy and hold,0.0,n/a,n/a,n/a,1.0,1.0,1.045,1.045,0.2968,12.4454,-0.3852,0.0,n/a,True
