model,n_folds,n_days,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,worst_fold_r2,directional_accuracy,majority_class_rate,pt_p_value,rmse_bps,excluded_fraction,da_minus_majority_pooled,da_minus_majority_fold_median
AR(1) returns,10,2520,-0.0034747708754774287,-0.0028136802282681785,0.0063335491231280225,-0.002653892640293698,-0.0015985582419799885,5,-0.013749778104861887,0.5371160409556314,0.5401023890784983,0.2355338654293022,181.8908326285729,0.06984126984126984,-0.002986348122866911,-0.00019105481362602372
"ARIMA(5, 0, 0) returns",10,2520,-0.007531493218959406,-0.006641291347872147,0.010091042798432436,-0.008249183980252095,-0.004386534352661231,5,-0.02693410430477039,0.5204778156996587,0.5401023890784983,0.8962462678875585,182.25812455107547,0.06984126984126984,-0.019624573378839605,-0.01928579289094312
BiLSTM,10,2520,-0.004989874577212339,-0.00434237538377098,0.011318944464028487,-0.0008759146763460124,-0.002181028291235861,8,-0.02379449921658705,0.5247440273037542,0.5401023890784983,0.7158884344768185,182.02809543644258,0.06984126984126984,-0.015358361774744034,-0.01046918767506999
Historical mean,10,2520,0.0,0.0,0.0,0.0,0.0,2,0.0,0.5401023890784983,0.5401023890784983,,181.57563932564665,0.06984126984126984,0.0,0.0
Hybrid meta (+VIX),10,2520,-0.00028661604384283557,-0.0021645104643367662,0.010908499188889621,0.001117077012420531,0.0012076110024723035,2,-0.032513603665618396,0.5264505119453925,0.5401023890784983,0.7479965426029642,181.60165870708806,0.06984126984126984,-0.013651877133105783,0.0
Hybrid meta (no VIX),10,2520,-0.0019694547205024726,-0.0015775693634996868,0.011983948930302378,0.001022818568436057,0.0008976014480221758,6,-0.02385410666719645,0.523037542662116,0.5401023890784983,0.5926329959603438,181.75435387637356,0.06984126984126984,-0.017064846416382284,-0.00422834870914679
Logistic (direction),10,2520,-0.00027169945410743246,-0.0008059407598517088,0.0026552402238553424,-0.00035436191266491335,1.1219727350359538e-05,2,-0.008160385144670323,0.5388225255972696,0.5401023890784983,0.5217074070430312,181.60030465141352,0.06984126984126984,-0.0012798634812286602,0.0
Random sign,10,2520,-0.8947967781260895,-1.119891745154455,0.578714395960009,-0.8630279597782519,-1.0179156334414583,2,-2.0376767505714284,0.5025597269624573,0.5401023890784983,0.2744871101592353,249.9418043917094,0.06984126984126984,-0.03754266211604096,-0.03851540616246496
Ridge (returns),10,2520,0.0012388952604556192,0.00044271184220929795,0.0032946320567331464,3.980618296134386e-05,0.0009575391156852279,9,-0.004190733619074072,0.5328498293515358,0.5401023890784983,0.26979785045557547,181.46312786788152,0.06984126984126984,-0.007252559726962482,0.0
Transformer,10,2520,0.001020568165086444,0.0010505321204052009,0.007411131428544986,-0.0002655658684014295,0.0024598408000142432,2,-0.01163324599607618,0.5260238907849829,0.5401023890784983,0.7064785318204532,181.48296051482396,0.06984126984126984,-0.014078498293515374,-0.004246456778102314
Tree Ensemble,10,2520,-0.02037227234513761,-0.01519524843255322,0.032593627229997486,-0.008081726392315747,-0.006265010429126392,4,-0.09556739046339469,0.5281569965870307,0.5401023890784983,0.058585531844656216,183.41586835590027,0.06984126984126984,-0.011945392491467532,-0.008767890717930993
Zero return,10,2520,-0.002760067590244608,-0.003739388814198352,0.006323207613119864,-0.0023034546483942098,-0.0022035514363831776,2,-0.017561925214534924,0.4598976109215017,0.5401023890784983,,181.82604717769854,0.06984126984126984,-0.08020477815699656,-0.06694677871148458
