model,ticker,n_folds,n_days,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,worst_fold_r2,directional_accuracy,majority_class_rate,pt_p_value,rmse_bps,excluded_fraction,da_minus_majority_pooled,da_minus_majority_fold_median
Tree Ensemble,AAPL,12,3024,-0.12077814028036382,-0.0788290805939549,0.1789304455809258,-0.04005149829132337,-0.028069213537560703,6,-0.637187618214291,0.511727078891258,0.5348258706467661,0.24566982892740002,188.53108372226524,0.06944444444444445,-0.023098791755508108,-0.02125382262996947
Tree Ensemble,AMZN,12,3024,-0.06666180271374866,-0.06609834810483013,0.07247421783825685,-0.08101973007426799,-0.05446906293501392,6,-0.19402048497280844,0.5028050490883591,0.5301542776998598,0.713848219013483,212.9265181263855,0.056878306878306875,-0.027349228611500687,-0.012588652482269508
Tree Ensemble,AVGO,12,3024,-0.09423325205144306,-0.10348623861892325,0.23942652323741934,-0.0287456651176089,-0.03548579515020271,6,-0.8514911167748493,0.5243562978427279,0.5340988169798191,0.021084511929243543,254.35609622912338,0.0496031746031746,-0.009742519137091232,-0.00636533202948153
Tree Ensemble,BA,12,3024,-0.3433667012136761,-0.1256119071076683,0.25894615502944085,-0.04613735720552048,-0.0519945921660555,6,-0.9354023714654092,0.4885523071504051,0.5174357168016908,0.7601899170111985,283.85744218414226,0.06117724867724868,-0.028883409651285663,-0.050870992173693536
Tree Ensemble,BAC,12,3024,-0.10545620016380464,-0.06429885800794467,0.10199301747277265,-0.04034543129539936,-0.035943455299473674,6,-0.3762082878011257,0.5026362038664324,0.513884007029877,0.31761923120019886,199.45515414237354,0.05919312169312169,-0.011247803163444647,-0.02758258475804115
Tree Ensemble,BRK-B,12,3024,-0.20655808494069827,-0.14529325328082934,0.25971923629070787,-0.06844012621586326,-0.07182169422558717,6,-0.9534804028884933,0.49835706462212487,0.5235487404162102,0.6915729207528464,130.78407469844257,0.09424603174603174,-0.025191675794085377,-0.04826882734463711
Tree Ensemble,CAT,12,3024,-0.11289790968380209,-0.08647252138764987,0.1248876201489014,-0.05621602535879788,-0.05257599059297116,6,-0.45933436012911555,0.5109308885754584,0.5229196050775741,0.17429255370150187,196.55875364618092,0.062169312169312166,-0.011988716502115637,-0.006447096964338372
Tree Ensemble,CRM,12,3024,-0.0858920476726901,-0.07621065442849942,0.07925070258599742,-0.07365643112032505,-0.05822817735297951,6,-0.2740179022592184,0.5115952213633169,0.5263527758257203,0.16790666412645766,228.41266416601405,0.05886243386243386,-0.014757554462403344,-0.01921578575440755
Tree Ensemble,DIS,12,3024,-0.14951750532561858,-0.0915099513195442,0.1505624593927279,-0.05785998006085458,-0.04908187333098244,6,-0.5582188091937235,0.501072194424589,0.5039313795568263,0.7497683889378474,184.88419858457942,0.07473544973544974,-0.002859185132237374,-0.027566299837633007
Tree Ensemble,GOOGL,12,3024,-0.08178132252293402,-0.07182696159286912,0.15066809076129867,-0.028230984135684478,-0.03048083254369022,6,-0.526634381133837,0.5107659724673491,0.5393575714789975,0.09064654846328213,185.1382349648487,0.06316137566137567,-0.028591599011648428,-0.03170418922770024
Tree Ensemble,GS,12,3024,-0.1638866411286981,-0.11174333397892462,0.17948894682686062,-0.05885860767959761,-0.060334157424255214,6,-0.6772442760802881,0.4897598870056497,0.524364406779661,0.9316554551570455,193.78688221267936,0.06349206349206349,-0.0346045197740113,-0.047627080521817355
Tree Ensemble,HD,12,3024,-0.21391024720161744,-0.15007530297665267,0.3212616234526999,-0.05697304321747787,-0.05805644802269079,6,-1.1622827074702333,0.4904983865184654,0.5320903549659376,0.9289233317409841,166.66352981765627,0.07771164021164022,-0.041591968447472205,-0.054209039548022614
Tree Ensemble,JNJ,12,3024,-0.05327716797948412,-0.04783858373513241,0.0676875494431805,-0.03604962403445089,-0.032068156439115585,6,-0.22131328399131744,0.5022140221402214,0.5287822878228783,0.423945527457023,116.19659777589575,0.10383597883597884,-0.02656826568265691,-0.031136005740825673
Tree Ensemble,JPM,12,3024,-0.2018174128828749,-0.10539344390250328,0.2176673253436419,-0.05663338932363271,-0.04376530634944525,6,-0.7833029569861418,0.4949964260185847,0.5293066476054324,0.8756881949465101,183.346943786037,0.07473544973544974,-0.03431022158684777,-0.053544026306174664
Tree Ensemble,KO,12,3024,-0.11799148185010755,-0.08135614245838205,0.08311185326082073,-0.05897583810162044,-0.06197958163077342,6,-0.29449831156207695,0.4894483524620511,0.5298037763791188,0.9299392214911772,117.44904974869934,0.10681216931216932,-0.0403554239170677,-0.045733328269785795
Tree Ensemble,MCD,12,3024,-0.2630465352377589,-0.13842296922912736,0.31818439557631345,-0.04311868363729432,-0.04731820892543436,6,-1.1405753325697505,0.5073367571533383,0.532648569332355,0.2614671778428087,139.76447330951586,0.09854497354497355,-0.02531181217901679,-0.025947005038253396
Tree Ensemble,META,10,2520,-0.06096132730720849,-0.06624044150677641,0.04051285710349335,-0.06586897202129183,-0.05681645583144898,1,-0.1510563125847233,0.5257214554579673,0.5244667503136763,0.03244342604512309,256.15566427741396,0.05119047619047619,0.0012547051442910462,-0.006534483402412139
Tree Ensemble,MRK,12,3024,-0.033824366887827306,-0.03673974975308556,0.04200235250531873,-0.03384626015498293,-0.027393128511478407,3,-0.13955258341076426,0.504889532777979,0.5201014125316914,0.25815491418349223,143.02190069514836,0.08697089947089948,-0.01521187975371241,-0.013129668645853243
Tree Ensemble,MSFT,12,3024,-0.09788440728355097,-0.08295700067730517,0.18563411202883345,-0.03751840693357189,-0.03161060741844232,6,-0.6477673265247965,0.5032327586206896,0.5352011494252874,0.4367447306084396,175.14228301223517,0.07936507936507936,-0.03196839080459779,-0.03254281949934126
