ticker,grid,train_rows_fold0,fold0_test_opens,reproduces_committed_max_abs_diff,n_folds,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,da,majority,da_minus_majority,r2_fold_00,r2_fold_01,r2_fold_02,r2_fold_03,r2_fold_04,r2_fold_05,r2_fold_06,r2_fold_07,r2_fold_08,r2_fold_09,r2_fold_10,r2_fold_11
AAPL,sweep,1008,2014-03-19,1.3877787807814457e-17,12,-0.12077814028036382,-0.07882908059395487,0.17893044558092583,-0.04005149829132326,-0.028069213537560665,6,0.511727078891258,0.5348258706467661,-0.023098791755508108,-0.04616159140933895,-0.04555474319147401,-0.07024510632336911,0.007478688949192791,-0.049324944172813634,-0.0299865051779844,-0.637187618214291,-0.06703517987668284,0.03619508063316512,-0.03454825339117251,-0.028930061238286342,0.01935126628559658
AAPL,frozen,1057,2014-05-29,,12,-0.024400408366485937,-0.020025519942403713,0.03494500324885754,-0.022574601510018777,-0.015273694408418425,4,0.5236066737664182,0.5353212637557685,-0.011714589989350266,-0.04887888083029357,-0.06924855510658401,0.04479361140768867,0.014859094061306255,-0.07229560081624187,-0.02211671823335215,-0.03725532037131485,-0.023032484786685403,0.016118670474806196,-0.028835881538467056,-0.008569861413580737,-0.005844312156126019
JNJ,sweep,1008,2014-03-19,6.938893903907228e-18,12,-0.05327716797948412,-0.04783858373513241,0.0676875494431805,-0.03604962403445089,-0.032068156439115585,6,0.5022140221402214,0.5287822878228783,-0.02656826568265691,-0.05708697620826264,-0.040335393264979924,-0.01834894839911949,-0.04836277758845675,-0.031763854803921854,0.05287514148563399,-0.22131328399131744,-0.11306930550977357,-0.011805584262192248,0.00023166434932686553,-0.06457020087307108,-0.020513485755454752
JNJ,frozen,1057,2014-05-29,,12,-0.023987269879172546,-0.03248158949495957,0.03117236174912486,-0.03297598760022791,-0.027388420488546797,7,0.5134636665437108,0.5271117668756916,-0.013648100331980828,-0.06526524939501788,-0.033155855434768844,-0.002872888206799651,-0.04911098081516396,-0.03279611976568697,0.021576995205811467,-0.06008772795997275,-0.08850644856550005,0.0014585617063568312,-0.018567496977643927,-0.019216763320846653,-0.043235100410282445
JPM,sweep,1008,2014-03-19,1.3877787807814457e-17,12,-0.2018174128828749,-0.10539344390250328,0.2176673253436419,-0.05663338932363271,-0.04376530634944525,6,0.4949964260185847,0.5293066476054324,-0.03431022158684777,-0.0922326549407535,-0.07361363529382281,-0.04970153713935521,-0.0688410596077107,0.05044459948512381,-0.04550564665602108,-0.7833029569861418,-0.10341035748445204,-0.06356524150791021,-0.01293946284003189,-0.012456810512155192,-0.009596563346808917
JPM,frozen,1057,2014-05-29,,12,-0.03354665300633752,-0.0356941663174353,0.03226436564054338,-0.03273383514389128,-0.031285411578045035,7,0.514459121742235,0.5301677972152803,-0.01570867547304533,-0.055018970469889794,-0.08404570692905167,-0.04703311761482465,-0.01554930276776223,0.0236413547728197,-0.02483460810473681,-0.022851183135845332,-0.0841904684507282,-0.031225787907904756,-0.0342418823798778,0.003991019348251079,-0.056971342169673145
WMT,sweep,1008,2014-03-19,6.938893903907228e-18,12,-0.03176951011643636,-0.03530719647010069,0.030391773463047108,-0.01961823282568953,-0.030342932504351283,1,0.4978102189781022,0.537956204379562,-0.04014598540145986,-0.049475517907033195,-0.08991410009334411,-0.06890163866119381,-0.013005124560413694,-0.017849064610246046,-0.0005234911281426502,-0.008742222343373962,-0.07013339614824488,-0.06015058252264205,-0.021387401041133014,-0.012903834786003987,-0.010699983839436822
WMT,frozen,1057,2014-05-29,,12,-0.030961795775197976,-0.03317118012955533,0.038394828878708515,-0.027034531716460974,-0.025626714856081288,8,0.5040058266569556,0.538965768390386,-0.03495994173343042,-0.055873063586933336,-0.0755848908730572,-0.035336527465652745,-0.003262179262164544,-0.018732535967269204,-0.00010147020788342509,-0.03998378066679775,-0.060138565329865834,-0.11616029813776985,0.015242029126973478,-0.004668984067550674,-0.0034538951166929177
XOM,sweep,1008,2014-03-19,1.3877787807814457e-17,12,-0.20418769391517877,-0.0859400192930091,0.1936625623287914,-0.01399620355510689,-0.03475602025263307,6,0.507818052594172,0.5131485429992892,-0.005330490405117239,-0.005185968732080104,0.04925197513269508,0.022969360324607058,-0.13175371175687722,-0.01515906730477945,-0.21992313861488344,-0.6489640087371451,-0.008423991772629646,-0.05003477049238847,-0.01283333980543433,-0.07000758635470583,0.058784016597512534
XOM,frozen,1057,2014-05-29,,12,-0.04705824398698333,-0.028718894166474062,0.04457546408467872,-0.033858563055943036,-0.022644595653385,6,0.5157857396239801,0.5115289109613338,0.004256828662646317,-0.008160656686224899,0.05055806352822145,0.019029663024361154,-0.06303183356064501,-0.03908434712447861,-0.08858345058544126,-0.09553617781045376,-0.004645325218155971,-0.06054384905800614,-0.02863277898740746,0.013923083058354435,-0.03991912057781266
