variant,fold_id,n_train,n_test,alpha,intercept,pred_tree,pred_lstm,pred_transformer,VIX,skipped_folds
Hybrid meta (+VIX),2,504,252,1000.0,0.0003108536925067055,0.00030371318614890434,4.415387261585086e-05,0.0004555105860529919,0.0003849944246079568,"0,1"
Hybrid meta (+VIX),3,756,252,10000.0,0.0007947016388849558,7.022555361991881e-05,-6.065841644358533e-06,4.746335044322513e-05,3.488398885806542e-05,"0,1"
Hybrid meta (+VIX),4,1008,252,1000.0,0.0008112229959235524,0.0005768729588367287,-0.00016371118683586392,0.00026313277671377794,0.00036316591525923053,"0,1"
Hybrid meta (+VIX),5,1260,252,1000.0,0.000619347304245629,0.0004264635673426513,-0.0004014846846462002,0.0003913646828843264,0.00021077086733496529,"0,1"
Hybrid meta (+VIX),6,1512,252,1000000.0,0.000906505789164509,1.1513689731266322e-06,-8.959654862534575e-07,5.797370009774991e-07,7.218820719493118e-07,"0,1"
Hybrid meta (+VIX),7,1764,252,1000000.0,0.00103569874826789,1.3290834005434416e-06,5.966631284906253e-07,5.308954674043544e-07,1.034395418062684e-06,"0,1"
Hybrid meta (+VIX),8,2016,252,1000000.0,0.0009998576997793515,1.8430708972898383e-06,5.515616841346463e-07,5.353352121132348e-07,1.0306064445703727e-06,"0,1"
Hybrid meta (+VIX),9,2268,252,10000.0,0.0009660473824811553,0.00018731893787695566,1.923411231677164e-05,8.460837930473897e-05,8.033331428540914e-05,"0,1"
Hybrid meta (+VIX),10,2520,252,10000.0,0.0009037808099374475,0.00019934437770631738,2.3730144538237063e-05,9.137350917509459e-05,8.788863961370224e-05,"0,1"
Hybrid meta (+VIX),11,2772,252,10000.0,0.0008426102738173472,0.00023797649690998553,3.364725028955098e-05,0.00011113405932062865,9.454682311314498e-05,"0,1"
Hybrid meta (no VIX),2,504,252,1000.0,0.0003108536925067054,0.0003210006012534007,5.644418368244408e-05,0.00044620080343105167,,"0,1"
Hybrid meta (no VIX),3,756,252,1000.0,0.0007947016388849558,0.00041917643481890614,-0.00010651631993658544,0.00027386495171008673,,"0,1"
Hybrid meta (no VIX),4,1008,252,1000.0,0.0008112229959235523,0.0006026251102115987,-0.00011793096094341923,0.0002703632014220815,,"0,1"
Hybrid meta (no VIX),5,1260,252,1000.0,0.000619347304245629,0.00044919077218011496,-0.00036713290912317214,0.0003967576764540092,,"0,1"
Hybrid meta (no VIX),6,1512,252,1000.0,0.0009065057891645091,0.0004953622248890674,-0.0004835099192485799,0.00027144001658322504,,"0,1"
Hybrid meta (no VIX),7,1764,252,1000000.0,0.00103569874826789,1.3294925386924234e-06,5.972654996227033e-07,5.306472568324278e-07,,"0,1"
Hybrid meta (no VIX),8,2016,252,10000.0,0.0009998576997793515,0.000151557220842836,4.183236809541932e-05,3.960376811304243e-05,,"0,1"
Hybrid meta (no VIX),9,2268,252,10000.0,0.0009660473824811553,0.000189933834176019,2.432726420529021e-05,8.20741435058575e-05,,"0,1"
Hybrid meta (no VIX),10,2520,252,1000.0,0.0009037808099374475,0.0006966588860442567,4.692915273835905e-05,0.0002477854945821719,,"0,1"
Hybrid meta (no VIX),11,2772,252,1000.0,0.0008426102738173472,0.0007873150064863853,6.88960558660716e-05,0.00027923497520140694,,"0,1"
