family,n_tests,observed_hits,rho_ticker,rho_model,rho_source,expected,sd,p_at_least_observed
Tree Ensemble,30,2,0.0,,assumed,1.502025,1.1941453133057747,0.447025
Tree Ensemble,30,2,0.3,,assumed,1.495555,2.337401882264322,0.317035
Tree Ensemble,30,2,0.5,,assumed,1.51178,3.152415093258596,0.25413
Tree Ensemble,30,2,0.019,,estimate,1.501065,1.265210207656952,0.435875
Ridge (returns),28,5,0.0,,assumed,1.403065,1.156819042429059,0.01197
Ridge (returns),28,5,0.3,,assumed,1.39543,2.1901459081064654,0.083715
Ridge (returns),28,5,0.5,,assumed,1.411105,2.9672987216125573,0.09863
Ridge (returns),28,5,0.04,,estimate,1.404115,1.29399553279646,0.02437
Logistic (direction),28,4,0.0,,assumed,1.40072,1.1546688477224714,0.04908
Logistic (direction),28,4,0.3,,assumed,1.39599,2.1949888404682265,0.1234
Logistic (direction),28,4,0.5,,assumed,1.406155,2.943164356106729,0.128275
Logistic (direction),28,4,0.025,,estimate,1.400155,1.2377716414461037,0.06227
all three models,86,11,0.0,0.0,assumed/assumed,4.50318,2.0694712612540687,0.005675
all three models,86,11,0.0,0.8,assumed/assumed,4.50381,2.868880728835408,0.032585
all three models,86,11,0.0,0.203,assumed/estimate,4.4972,2.189140498387577,0.008355
all three models,86,11,0.3,0.0,assumed/assumed,4.49942,4.049497704130511,0.086615
all three models,86,11,0.3,0.8,assumed/assumed,4.48915,6.208060484368277,0.125845
all three models,86,11,0.3,0.203,assumed/estimate,4.49484,4.5254475770667,0.099105
all three models,86,11,0.5,0.0,assumed/assumed,4.500805,5.428351194143433,0.124215
all three models,86,11,0.5,0.8,assumed/assumed,4.4948,8.35125689207669,0.134115
all three models,86,11,0.5,0.203,assumed/estimate,4.50018,6.022427360770454,0.13102
all three models,86,11,0.028,0.0,estimate/assumed,4.49736,2.251072714738872,0.010625
all three models,86,11,0.028,0.8,estimate/assumed,4.497765,3.2216729971645948,0.050785
all three models,86,11,0.028,0.203,estimate/estimate,4.50466,2.4342838604175903,0.017185
