ticker,model,fold_id,n_train,n_test,alpha,intercept,coef_abs_sum,coef_abs_max,pred_sd_over_train_sd,C,p_up_mean,p_up_sd,single_class
AAPL,Ridge (returns),0,1008,252,1000000.0,0.0009714291754965202,1.1323387535187676e-05,1.18486300743682e-06,0.00015941686279787948,,,,
AAPL,Ridge (returns),1,1260,252,1000000.0,0.0011011696223138102,1.2228257630667492e-05,1.2575597392948109e-06,0.0002403834245140782,,,,
AAPL,Ridge (returns),2,1512,252,1000000.0,0.0007512373478332485,1.4419735234159613e-05,1.6213497136620425e-06,0.00017988387861446865,,,,
AAPL,Ridge (returns),3,1764,252,1000000.0,0.0008956888026629926,1.4178757612062685e-05,1.8517047438702414e-06,0.00022764689206498356,,,,
AAPL,Ridge (returns),4,2016,252,1000000.0,0.0008913260857100362,1.6826744363398893e-05,1.923900925564256e-06,0.00035139280297949834,,,,
AAPL,Ridge (returns),5,2268,252,1000000.0,0.0007758281359126919,1.7086592261981424e-05,2.118547571819248e-06,0.00027240348039621814,,,,
AAPL,Ridge (returns),6,2520,252,10000.0,0.0009324751436973134,0.002013981846821052,0.00027304715404832217,0.04564522548983306,,,,
AAPL,Ridge (returns),7,2772,252,10000.0,0.0010123279945328462,0.0021725014624722977,0.0002831002150425335,0.0471915875655372,,,,
AAPL,Ridge (returns),8,3024,252,10000.0,0.0009903815250184073,0.002211013306594675,0.0002818025348881689,0.0402443752063745,,,,
AAPL,Ridge (returns),9,3276,252,1000.0,0.0009677033187935734,0.010587264604037715,0.0008240543372500806,0.05986119159092647,,,,
AAPL,Ridge (returns),10,3528,252,1000.0,0.0009231089143828956,0.010419422530863524,0.0008499250540524755,0.12273721866143612,,,,
AAPL,Ridge (returns),11,3780,252,1000.0,0.0008769619809317896,0.010929668321259875,0.001038883730899575,0.06201782200798092,,,,
AAPL,Logistic (direction),0,1008,252,,0.09927431748087515,0.03570026657650214,,,0.0001,0.5261835554110292,0.003118782373058597,False
AAPL,Logistic (direction),1,1260,252,,0.11139901109954099,0.2643729612774131,,,0.001,0.5207245693720728,0.018786330427938588,False
AAPL,Logistic (direction),2,1512,252,,0.0742069166401982,0.2637098160275393,,,0.001,0.5171926597592388,0.015471375131225875,False
AAPL,Logistic (direction),3,1764,252,,0.0885002303779118,0.04567840278101309,,,0.0001,0.5216884393501173,0.004369049780906099,False
AAPL,Logistic (direction),4,2016,252,,0.08935997686252095,0.04062156445270886,,,0.0001,0.5227188620212793,0.003969694199644277,False
AAPL,Logistic (direction),5,2268,252,,0.10057310683115034,0.05106857727363629,,,0.0001,0.527092101667985,0.00740892732510683,False
AAPL,Logistic (direction),6,2520,252,,0.10970619504780586,0.06401047548373308,,,0.0001,0.5275132936401414,0.007572186009650324,False
AAPL,Logistic (direction),7,2772,252,,0.1097717045697539,0.06873382774127802,,,0.0001,0.5272689259106305,0.006726061386159302,False
AAPL,Logistic (direction),8,3024,252,,0.11125264007109816,0.0649624566211843,,,0.0001,0.5270116132760585,0.006476896201133341,False
AAPL,Logistic (direction),9,3276,252,,0.10506194593777064,0.05796248264888369,,,0.0001,0.5256620166348863,0.00468607479628571,False
AAPL,Logistic (direction),10,3528,252,,0.10553305206176686,0.05695882479979837,,,0.0001,0.5251984039552976,0.006485723798636082,False
AAPL,Logistic (direction),11,3780,252,,0.11551085452719892,0.05631989267651351,,,0.0001,0.5298877359520279,0.004787245949322093,False
