family,n_tests,n_undefined,upper_tail,lower_tail,positive,mean_statistic,rho_ticker,rho_model,null_sd_of_mean,p_mean_at_least_observed
Tree Ensemble,30,0,2,0,18,0.20605126959831357,0.0,,0.18294900687175375,0.13086
Tree Ensemble,30,0,2,0,18,0.20605126959831357,0.3,,0.5685972227327729,0.36063
Tree Ensemble,30,0,2,0,18,0.20605126959831357,0.5,,0.7181891186725154,0.387835
Tree Ensemble,30,0,2,0,18,0.20605126959831357,0.019,,0.22738598257204143,0.181965
Ridge (returns),28,2,5,0,21,0.6463052984357603,0.0,,0.1891407015870601,0.000275
Ridge (returns),28,2,5,0,21,0.6463052984357603,0.3,,0.567974780042527,0.128185
Ridge (returns),28,2,5,0,21,0.6463052984357603,0.5,,0.7222878889843733,0.18467
Ridge (returns),28,2,5,0,21,0.6463052984357603,0.04,,0.27218991189155517,0.008555
Logistic (direction),28,2,4,0,18,0.5311115329606781,0.0,,0.18883035374454538,0.002485
Logistic (direction),28,2,4,0,18,0.5311115329606781,0.3,,0.5703695049278189,0.175685
Logistic (direction),28,2,4,0,18,0.5311115329606781,0.5,,0.7196686988968225,0.23009
Logistic (direction),28,2,4,0,18,0.5311115329606781,0.025,,0.24492314815184366,0.014865
all three models,86,4,11,0,57,0.4552233647331358,0.0,0.0,0.10523292937581404,5e-06
all three models,86,4,11,0,57,0.4552233647331358,0.0,0.8,0.16954265284055003,0.00378
all three models,86,4,11,0,57,0.4552233647331358,0.0,0.203,0.12478989820218649,0.000125
all three models,86,4,11,0,57,0.4552233647331358,0.3,0.0,0.32865023626272605,0.083245
all three models,86,4,11,0,57,0.4552233647331358,0.3,0.8,0.5297550522995141,0.193585
all three models,86,4,11,0,57,0.4552233647331358,0.3,0.203,0.3893581978369935,0.121275
all three models,86,4,11,0,57,0.4552233647331358,0.5,0.0,0.41506645269671605,0.13536
all three models,86,4,11,0,57,0.4552233647331358,0.5,0.8,0.6689653902421039,0.249815
all three models,86,4,11,0,57,0.4552233647331358,0.5,0.203,0.49264775382202086,0.17673
all three models,86,4,11,0,57,0.4552233647331358,0.028,0.0,0.14140481477933883,0.00066
all three models,86,4,11,0,57,0.4552233647331358,0.028,0.8,0.22920603126100966,0.02364
all three models,86,4,11,0,57,0.4552233647331358,0.028,0.203,0.16842890174908756,0.00329
